id,hora,tipo,boca,TBA,IMO,amarracao,fundeio_barra,navio_id,manobra,data,LOA,calado,DWT,rebocadores,indicativo,situacao,navio
1,13:00:00,GR,26.0,14458,9217826,L,2025-07-28 15:00:00,9217826,EF: ,2025-08-11,150.52,6.0,23677,CAM S W,8PGO9,A CONFIRMAR,Navio: AK HALIMA Bandeira: BARBADOS IMO: 9217826
2,13:00:00,GR,32.29,44192,9706786,L,2025-07-25 08:00:00,9706786,EF: ,2025-08-11,229.0,7.0,82045,SV W S,V7A7228,A CONFIRMAR,Navio: AGIA SOFIA I Bandeira: MARSHALL ISLANDS IMO: 9706786
3,13:00:00,GR,32.29,42708,9528574,P,2025-07-30 14:57:00,9528574,EF: ,2025-08-11,224.9,7.2,81393,SV W S,A8PX9,A CONFIRMAR,Navio: MARCO Bandeira: LIBERIA IMO: 9528574
4,13:00:00,GR,32.3,44373,9598177,P,2025-08-01 10:50:00,9598177,DF: AZ14 BB,2025-08-11,228.92,13.1,82043,W CAM SN,VRLC5,A CONFIRMAR,"Navio: BBG BRIGHT Bandeira: HONG KONG, CHINA IMO: 9598177"
5,14:00:00,FC,48.33,95014,9605279,L,,9605279,DS: AZ16 BB,2025-08-11,299.91,11.6,117999,W CAM S,9HA3462,A CONFIRMAR,Navio: MSC AMALFI Bandeira: MALTA IMO: 9605279
6,15:00:00,GR,32.29,39737,9427029,L,2025-07-26 03:30:00,9427029,EF: ,2025-08-11,224.94,6.75,76596,SV W S,9HA4706,A CONFIRMAR,Navio: OCEAN ZENON Bandeira: MALTA IMO: 9427029
7,15:00:00,GR,32.3,34241,9805659,P,2025-08-05 14:30:00,9805659,DS: AZ0304 BB,2025-08-11,199.98,13.05,60396,S CAM W,9HA4627,A CONFIRMAR,Navio: GENOA Bandeira: MALTA IMO: 9805659
8,15:30:00,FC,51.03,139136,9968853,,2025-08-09 23:22:00,9968853,EA: AZ18 QB,2025-08-11,335.0,10.5,156597, ,9V9162,PREVISTA,Navio: KOTA EBONY Bandeira: SINGAPORE IMO: 9968853
9,15:30:00,GR,32.29,42638,9363649,P,2025-08-02 00:00:00,9363649,EA: AZ14 BB,2025-08-11,224.86,7.1,82354,W CAM SN,VREJ2,A CONFIRMAR,"Navio: HONG JING Bandeira: HONG KONG, CHINA IMO: 9363649"
10,16:00:00,FC,42.86,83133,9285691,L,,9285691,DS: AZ18 BB,2025-08-11,300.07,9.55,106449,W CAM S,D5VS7,A CONFIRMAR,Navio: MSC VANCOUVER Bandeira: LIBERIA IMO: 9285691
11,17:00:00,GR,32.26,43672,9902263,,2025-08-08 21:00:00,9902263,EF: ,2025-08-11,228.99,13.1,82533, ,3FAE7,PREVISTA,Navio: PHENOMENAL DIVA Bandeira: PANAMA IMO: 9902263
12,19:00:00,GR,32.28,43621,9852808,L,2025-07-17 07:31:00,9852808,DS: AZ09 BB,2025-08-11,228.94,7.21,81557,SV W S,3FAX3,A CONFIRMAR,Navio: HARRIET P Bandeira: PANAMA IMO: 9852808
